Power,Result,PatternRIS0,PatternRIS1
10.0,-68.51846694946289,0,0
10.0,-71.24892711639404,0,0
10.0,-72.20841884613037,0,0
10.0,-67.70426750183105,0,1
10.0,-70.97692489624023,0,1
10.0,-72.26721286773682,0,1
10.0,-67.61950492858887,0,2
10.0,-71.26198768615723,0,2
10.0,-72.51053810119629,0,2
10.0,-68.53153228759766,1,0
10.0,-71.44399166107178,1,0
10.0,-72.41726398468018,1,0
10.0,-69.30389404296875,1,1
10.0,-71.83894634246826,1,1
10.0,-72.41160869598389,1,1
10.0,-69.4062089920044,1,2
10.0,-71.80947303771973,1,2
10.0,-72.53748893737793,1,2
10.0,-69.42641735076904,2,0
10.0,-71.82448387145996,2,0
10.0,-72.69840717315674,2,0
10.0,-70.4002857208252,2,1
10.0,-72.00207710266113,2,1
10.0,-72.59851932525635,2,1
10.0,-70.90714931488037,2,2
10.0,-72.16299057006836,2,2
10.0,-72.68200874328613,2,2
