Timestamp,Power,Result,PatternRIS0,PatternRIS1
2025-05-22T10:38:35.795682,10.0,-68.08373928070068,0,0
2025-05-22T10:38:36.067932,10.0,-68.83564472198486,0,1
2025-05-22T10:38:36.338337,10.0,-69.21297550201416,0,2
2025-05-22T10:38:36.532893,10.0,-69.95811462402344,1,0
2025-05-22T10:38:36.803065,10.0,-70.03213405609131,1,1
2025-05-22T10:38:37.074279,10.0,-71.16457462310791,1,2
2025-05-22T10:38:37.269378,10.0,-71.66345119476318,2,0
2025-05-22T10:38:37.540495,10.0,-70.10318279266357,2,1
2025-05-22T10:38:37.810948,10.0,-70.83108901977539,2,2
2025-05-22T10:38:38.006685,10.0,-71.54282569885254,0,0
2025-05-22T10:38:38.278375,10.0,-73.48951816558838,0,1
2025-05-22T10:38:38.549139,10.0,-72.22781658172607,0,2
2025-05-22T10:38:38.743317,10.0,-72.5110912322998,1,0
2025-05-22T10:38:39.014254,10.0,-72.90328979492188,1,1
2025-05-22T10:38:39.285218,10.0,-72.97089099884033,1,2
2025-05-22T10:38:39.479431,10.0,-73.19314002990723,2,0
2025-05-22T10:38:39.750681,10.0,-73.47065448760986,2,1
2025-05-22T10:38:40.021013,10.0,-73.55063438415527,2,2
2025-05-22T10:38:40.213842,10.0,-73.10665607452393,0,0
2025-05-22T10:38:40.484363,10.0,-73.93588542938232,0,1
2025-05-22T10:38:40.754811,10.0,-73.95781517028809,0,2
2025-05-22T10:38:40.946928,10.0,-73.98674488067627,1,0
2025-05-22T10:38:41.218090,10.0,-74.12002086639404,1,1
2025-05-22T10:38:41.489574,10.0,-74.29393768310547,1,2
2025-05-22T10:38:41.684901,10.0,-74.21175956726074,2,0
2025-05-22T10:38:41.956414,10.0,-74.19288635253906,2,1
2025-05-22T10:38:42.228271,10.0,-74.39619064331055,2,2
2025-05-22T10:39:40.135059,10.0,-67.46827602386475,0,0
2025-05-22T10:39:40.406793,10.0,-66.77152156829834,0,1
2025-05-22T10:39:40.678066,10.0,-67.72467613220215,0,2
2025-05-22T10:39:40.871050,10.0,-68.41059684753418,1,0
2025-05-22T10:39:41.143066,10.0,-71.11083984375,1,1
2025-05-22T10:39:41.414344,10.0,-69.26989078521729,1,2
