Power,Result,PatternRIS0,PatternRIS1
10.0,-67.30893135070801,0,0
10.0,-70.63734531402588,0,0
10.0,-72.31552124023438,0,0
10.0,-66.78200244903564,0,1
10.0,-70.7710599899292,0,1
10.0,-72.46191501617432,0,1
10.0,-67.19547271728516,0,2
10.0,-71.10337734222412,0,2
10.0,-72.58586406707764,0,2
10.0,-67.95697689056396,1,0
10.0,-71.26137733459473,1,0
10.0,-72.6387357711792,1,0
10.0,-68.68685722351074,1,1
10.0,-71.4523983001709,1,1
10.0,-72.62284278869629,1,1
10.0,-68.95443439483643,1,2
10.0,-71.86820030212402,1,2
10.0,-72.71109580993652,1,2
10.0,-69.10029888153076,2,0
10.0,-71.92544937133789,2,0
10.0,-72.81375885009766,2,0
10.0,-70.05368709564209,2,1
10.0,-72.3584794998169,2,1
10.0,-72.77931690216064,2,1
10.0,-70.35219192504883,2,2
10.0,-72.42465496063232,2,2
10.0,-72.8737735748291,2,2
